Geracao,Fitness
0,1910696.1446580593
1,1364518.0050951755
2,1364518.0050951755
3,1180136.2471310059
4,1180136.2471310059
5,1178313.4402273386
6,983708.4187031621
7,983708.4187031621
8,978044.182299872
9,956775.8968188603
10,956775.8968188603
11,956775.8968188603
12,951240.6576311428
13,951240.6576311428
14,929514.2658560445
15,929514.2658560445
16,821817.3389315851
17,821817.3389315851
18,782704.2731022505
19,782704.2731022505
20,782704.2731022505
21,782704.2731022505
22,776693.3412358979
23,698732.3854808429
24,698540.3875824667
25,669829.6108823821
26,669829.6108823821
27,669829.6108823821
28,669829.6108823821
29,669829.6108823821
30,666795.8367032437
31,666795.8367032437
32,651976.3839315748
33,649492.356751148
34,649492.356751148
35,645319.8217754007
36,641255.4162805405
37,629436.8953503746
38,626269.7277152338
39,619784.8965748838
40,619784.8965748838
41,619784.8965748838
42,619784.8965748838
43,619784.8965748838
44,619784.8965748838
45,614709.5686497391
46,614709.5686497391
47,614709.5686497391
48,601407.6335819487
49,601407.6335819487
50,601407.6335819487
51,590611.7209442069
52,590611.7209442069
53,586903.4484177735
54,573270.9441309302
55,573123.5841553881
56,567909.7950677099
57,567909.7950677099
58,567909.7950677099
59,567909.7950677099
60,567909.7950677099
61,567909.7950677099
62,567909.7950677099
63,567909.7950677099
64,552703.4371169724
65,552703.4371169724
66,552703.4371169724
67,552703.4371169724
68,548040.8639089762
69,548040.8639089762
70,548040.8639089762
71,548040.8639089762
72,548040.8639089762
73,548040.8639089762
74,548040.8639089762
75,548040.8639089762
76,548040.8639089762
77,548040.8639089762
78,548040.8639089762
79,548040.8639089762
80,548040.8639089762
81,548040.8639089762
82,548040.8639089762
83,548040.8639089762
84,548040.8639089762
85,548040.8639089762
86,548040.8639089762
87,548011.9710764617
88,548011.9710764617
89,548011.9710764617
90,548011.9710764617
91,548011.9710764617
92,548011.9710764617
93,548011.9710764617
94,548011.9710764617
95,548011.9710764617
96,548011.9710764617
97,548011.9710764617
98,548011.9710764617
99,548011.9710764617
100,548011.9710764617
101,548011.9710764617
102,548011.9710764617
103,548011.9710764617
104,548011.9710764617
105,548011.9710764617
106,548011.9710764617
107,548011.9710764617
108,548011.9710764617
109,548011.9710764617
110,547892.1372445892
111,547892.1372445892
112,547892.1372445892
113,547892.1372445892
114,547892.1372445892
115,547892.1372445892
116,547892.1372445892
117,547892.1372445892
118,547892.1372445892
119,547892.1372445892
120,547892.1372445892
121,547892.1372445892
122,547892.1372445892
123,547892.1372445892
124,547892.1372445892
125,547892.1372445892
126,547892.1372445892
127,547892.1372445892
128,547892.1372445892
129,547892.1372445892
130,547892.1372445892
131,547892.1372445892
132,547892.1372445892
133,544783.8248132471
134,544783.8248132471
135,544783.8248132471
136,544580.2708627417
137,544580.2708627417
138,544580.2708627417
139,544580.2708627417
140,544580.2708627417
141,543387.6536359424
142,543387.6536359424
143,543387.6536359424
144,543253.1480641981
145,543253.1480641981
146,543253.1480641981
147,543253.1480641981
148,543253.1480641981
149,543253.1480641981
150,543253.1480641981
151,543253.1480641981
152,543253.1480641981
153,543253.1480641981
154,543253.1480641981
155,540316.0447772634
156,540316.0447772634
157,540316.0447772634
158,540316.0447772634
159,540316.0447772634
160,540316.0447772634
161,540316.0447772634
162,540316.0447772634
163,540316.0447772634
164,540248.2816570974
165,540248.2816570974
166,540144.2664515727
167,540144.2664515727
168,540144.2664515727
169,536001.4421664696
170,536001.4421664696
171,536001.4421664696
172,536001.4421664696
173,536001.4421664696
174,536001.4421664696
175,536001.4421664696
176,536001.4421664696
177,536001.4421664696
178,536001.4421664696
179,536001.4421664696
180,536001.4421664696
181,536001.4421664696
182,536001.4421664696
183,536001.4421664696
184,536001.4421664696
185,536001.4421664696
186,536001.4421664696
187,536001.4421664696
188,536001.4421664696
189,535955.4444690141
190,535955.4444690141
191,535955.4444690141
192,535955.4444690141
193,535955.4444690141
194,535955.4444690141
195,535955.4444690141
196,535955.4444690141
197,535955.4444690141
198,535955.4444690141
199,535955.4444690141
200,535955.4444690141
201,535955.4444690141
202,533584.1684253551
203,533584.1684253551
204,533584.1684253551
205,533584.1684253551
206,533173.7562204981
207,533173.7562204981
208,533173.7562204981
209,533173.7562204981
210,533173.7562204981
211,533173.7562204981
212,533173.7562204981
213,532429.9751056386
214,532429.9751056386
215,532215.2978394286
216,532211.3434565013
217,532211.3434565013
218,532211.3434565013
219,531620.7157416004
220,531620.7157416004
221,531620.7157416004
222,531418.43877719
223,531418.43877719
224,531418.43877719
225,531418.43877719
226,531418.43877719
227,531418.43877719
228,531418.43877719
229,531418.43877719
230,531418.43877719
231,531310.1354255562
232,531310.1354255562
233,531310.1354255562
234,530884.651286867
235,530884.651286867
236,530884.651286867
237,530884.651286867
238,530884.651286867
239,530884.651286867
240,530884.651286867
241,530884.651286867
242,530884.651286867
243,530884.651286867
244,530884.651286867
245,530884.651286867
246,530884.651286867
247,530884.651286867
248,530884.651286867
249,530884.651286867
250,530884.651286867
251,530884.651286867
252,530884.651286867
253,530884.651286867
254,530884.651286867
255,530884.651286867
256,530770.51997787
257,530770.51997787
258,530770.51997787
259,530770.51997787
260,530770.51997787
261,530770.51997787
262,530770.51997787
263,530770.51997787
264,530770.51997787
265,530770.51997787
266,530770.51997787
267,530770.51997787
268,530770.51997787
269,529312.5263316422
270,529312.5263316422
271,527930.9379585105
272,527930.9379585105
273,527930.9379585105
274,527930.9379585105
275,527930.9379585105
276,527798.1313276362
